"","Clinton","Sanders","county","state_abbreviation"
"x.5110",0.565,0.274,"Wetzel","WV"
"x.527",0.56,0.292,"Wirt","WV"
"x.535",0.532,0.373,"Wood","WV"
"x.545",0.52,0.246,"Wyoming","WV"
"x13",0.518,0.474,"Adams","WI"
"x.1100",0.63,0.368,"Ashland","WI"
"x.240",0.532,0.462,"Barron","WI"
"x.339",0.635,0.362,"Bayfield","WI"
"x.428",0.573,0.424,"Brown","WI"
"x.528",0.578,0.415,"Buffalo","WI"
"x.626",0.503,0.494,"Burnett","WI"
"x.720",0.568,0.429,"Calumet","WI"
"x.820",0.557,0.438,"Chippewa","WI"
"x.920",0.564,0.428,"Clark","WI"
"x.1019",0.605,0.392,"Columbia","WI"
"x.1119",0.578,0.414,"Crawford","WI"
"x.1219",0.626,0.373,"Dane","WI"
"x.1319",0.579,0.418,"Dodge","WI"
"x.1419",0.536,0.461,"Door","WI"
"x.1519",0.554,0.439,"Douglas","WI"
"x.1619",0.635,0.36,"Dunn","WI"
"x.1715",0.639,0.358,"Eau Claire","WI"
"x.1812",0.618,0.369,"Florence","WI"
"x.1911",0.571,0.427,"Fond du Lac","WI"
"x.2010",0.511,0.481,"Forest","WI"
"x.2116",0.593,0.402,"Grant","WI"
"x.2212",0.609,0.387,"Green","WI"
"x.2311",0.566,0.429,"Green Lake","WI"
"x.249",0.594,0.402,"Iowa","WI"
"x.259",0.546,0.439,"Iron","WI"
"x.269",0.584,0.41,"Jackson","WI"
"x.279",0.611,0.387,"Jefferson","WI"
"x.289",0.573,0.422,"Juneau","WI"
"x.299",0.572,0.425,"Kenosha","WI"
"x.309",0.524,0.471,"Kewaunee","WI"
"x.3115",0.628,0.369,"La Crosse","WI"
"x.3211",0.529,0.464,"Lafayette","WI"
"x.3310",0.542,0.45,"Langlade","WI"
"x.349",0.583,0.414,"Lincoln","WI"
"x.359",0.561,0.434,"Manitowoc","WI"
"x.369",0.589,0.407,"Marathon","WI"
"x.379",0.508,0.486,"Marinette","WI"
"x.389",0.567,0.427,"Marquette","WI"
"x.397",0.633,0.364,"Menominee","WI"
"x.406",0.48,0.517,"Milwaukee","WI"
"x.4111",0.606,0.389,"Monroe","WI"
"x.429",0.513,0.481,"Oconto","WI"
"x.436",0.602,0.394,"Oneida","WI"
"x.446",0.601,0.396,"Outagamie","WI"
"x.456",0.51,0.488,"Ozaukee","WI"
"x.466",0.561,0.436,"Pepin","WI"
"x.476",0.572,0.419,"Pierce","WI"
"x.486",0.527,0.463,"Polk","WI"
"x.496",0.647,0.349,"Portage","WI"
"x.506",0.616,0.378,"Price","WI"
"x.5111",0.508,0.489,"Racine","WI"
"x.529",0.582,0.416,"Richland","WI"
"x.536",0.605,0.392,"Rock","WI"
"x.546",0.569,0.425,"Rusk","WI"
"x.555",0.612,0.385,"Sauk","WI"
"x.565",0.626,0.369,"Sawyer","WI"
"x.575",0.582,0.415,"Shawano","WI"
"x.585",0.54,0.454,"Sheboygan","WI"
"x.595",0.533,0.46,"St. Croix","WI"
"x.605",0.596,0.397,"Taylor","WI"
"x.6110",0.548,0.448,"Trempealeau","WI"
"x.627",0.641,0.356,"Vernon","WI"
"x.634",0.601,0.396,"Vilas","WI"
"x.643",0.617,0.38,"Walworth","WI"
"x.653",0.568,0.424,"Washburn","WI"
"x.663",0.544,0.453,"Washington","WI"
"x.672",0.514,0.484,"Waukesha","WI"
"x.682",0.597,0.397,"Waupaca","WI"
"x.692",0.557,0.438,"Waushara","WI"
"x.702",0.612,0.385,"Winnebago","WI"
"x.7110",0.602,0.395,"Wood","WI"
"x14",0.496,0.437,"Adair","KY"
"x.1101",0.46,0.474,"Allen","KY"
"x.250",0.36,0.524,"Anderson","KY"
"x.340",0.32,0.52,"Ballard","KY"
"x.430",0.372,0.499,"Barren","KY"
"x.530",0.456,0.466,"Bath","KY"
"x.628",0.447,0.456,"Bell","KY"
"x.722",0.518,0.441,"Boone","KY"
"x.822",0.465,0.456,"Bourbon","KY"
"x.921",0.447,0.461,"Boyd","KY"
"x.1020",0.499,0.439,"Boyle","KY"
"x.1120",0.325,0.549,"Bracken","KY"
"x.1220",0.339,0.518,"Breathitt","KY"
"x.1320",0.459,0.458,"Breckinridge","KY"
"x.1420",0.444,0.491,"Bullitt","KY"
"x.1520",0.511,0.421,"Butler","KY"
"x.1620",0.343,0.521,"Caldwell","KY"
"x.1716",0.358,0.55,"Calloway","KY"
"x.1813",0.481,0.475,"Campbell","KY"
"x.1912",0.256,0.575,"Carlisle","KY"
"x.2011",0.415,0.494,"Carroll","KY"
"x.2117",0.391,0.514,"Carter","KY"
"x.2213",0.507,0.44,"Casey","KY"
"x.2312",0.502,0.399,"Christian","KY"
"x.2410",0.455,0.475,"Clark","KY"
"x.2510",0.484,0.416,"Clay","KY"
"x.2610",0.579,0.356,"Clinton","KY"
"x.2710",0.356,0.51,"Crittenden","KY"
"x.2810",0.448,0.5,"Cumberland","KY"
"x.2910",0.455,0.466,"Daviess","KY"
"x.3010",0.495,0.471,"Edmonson","KY"
"x.3116",0.357,0.526,"Elliott","KY"
"x.3212",0.476,0.47,"Estill","KY"
"x.3311",0.528,0.45,"Fayette","KY"
"x.3410",0.407,0.523,"Fleming","KY"
"x.3510",0.314,0.541,"Floyd","KY"
"x.3610",0.451,0.466,"Franklin","KY"
"x.3710",0.466,0.362,"Fulton","KY"
"x.3810",0.395,0.516,"Gallatin","KY"
"x.398",0.505,0.45,"Garrard","KY"
"x.407",0.409,0.492,"Grant","KY"
"x.4112",0.318,0.513,"Graves","KY"
"x.4210",0.499,0.446,"Grayson","KY"
"x.437",0.404,0.512,"Green","KY"
"x.447",0.438,0.477,"Greenup","KY"
"x.457",0.425,0.497,"Hancock","KY"
"x.467",0.478,0.462,"Hardin","KY"
"x.477",0.259,0.628,"Harlan","KY"
"x.487",0.414,0.495,"Harrison","KY"
"x.497",0.397,0.516,"Hart","KY"
"x.507",0.434,0.429,"Henderson","KY"
"x.5112",0.406,0.498,"Henry","KY"
"x.5210",0.325,0.466,"Hickman","KY"
"x.537",0.327,0.522,"Hopkins","KY"
"x.547",0.359,0.59,"Jackson","KY"
"x.556",0.573,0.403,"Jefferson","KY"
"x.566",0.442,0.498,"Jessamine","KY"
"x.576",0.329,0.555,"Johnson","KY"
"x.586",0.49,0.465,"Kenton","KY"
"x.596",0.308,0.588,"Knott","KY"
"x.606",0.479,0.464,"Knox","KY"
"x.6111",0.347,0.516,"LaRue","KY"
"x.629",0.491,0.459,"Laurel","KY"
"x.635",0.353,0.524,"Lawrence","KY"
"x.644",0.429,0.483,"Lee","KY"
"x.654",0.438,0.527,"Leslie","KY"
"x.664",0.267,0.569,"Letcher","KY"
"x.673",0.517,0.37,"Lewis","KY"
"x.683",0.477,0.455,"Lincoln","KY"
"x.693",0.344,0.524,"Livingston","KY"
"x.703",0.438,0.46,"Logan","KY"
"x.7111",0.405,0.457,"Lyon","KY"
"x.723",0.416,0.53,"Madison","KY"
"x.732",0.427,0.523,"Magoffin","KY"
"x.742",0.503,0.426,"Marion","KY"
"x.752",0.347,0.508,"Marshall","KY"
"x.762",0.312,0.574,"Martin","KY"
"x.772",0.441,0.47,"Mason","KY"
"x.782",0.438,0.465,"McCracken","KY"
"x.792",0.419,0.504,"McCreary","KY"
"x.802",0.381,0.501,"McLean","KY"
"x.8110",0.419,0.492,"Meade","KY"
"x.823",0.448,0.465,"Menifee","KY"
"x.832",0.391,0.526,"Mercer","KY"
"x.842",0.417,0.479,"Metcalfe","KY"
"x.852",0.508,0.44,"Monroe","KY"
"x.862",0.458,0.47,"Montgomery","KY"
"x.872",0.316,0.573,"Morgan","KY"
"x.882",0.433,0.457,"Muhlenberg","KY"
"x.892",0.476,0.466,"Nelson","KY"
"x.902",0.422,0.502,"Nicholas","KY"
"x.9110",0.413,0.5,"Ohio","KY"
"x.922",0.524,0.444,"Oldham","KY"
"x.931",0.346,0.55,"Owen","KY"
"x.941",0.433,0.511,"Owsley","KY"
"x.951",0.366,0.515,"Pendleton","KY"
"x.961",0.3,0.596,"Perry","KY"
"x.971",0.261,0.543,"Pike","KY"
"x.981",0.424,0.507,"Powell","KY"
"x.991",0.474,0.466,"Pulaski","KY"
"x.1001",0.32,0.596,"Robertson","KY"
"x.10110",0.457,0.488,"Rockcastle","KY"
"x.1021",0.44,0.512,"Rowan","KY"
"x.1031",0.482,0.467,"Russell","KY"
"x.1041",0.486,0.464,"Scott","KY"
"x.1051",0.478,0.445,"Shelby","KY"
"x.1061",0.459,0.451,"Simpson","KY"
"x.1071",0.427,0.512,"Spencer","KY"
"x.1081",0.503,0.448,"Taylor","KY"
"x.1091",0.351,0.535,"Todd","KY"
"x.1102",0.408,0.483,"Trigg","KY"
"x.11110",0.383,0.5,"Trimble","KY"
"x.1121",0.299,0.493,"Union","KY"
"x.1131",0.449,0.499,"Warren","KY"
"x.1141",0.47,0.455,"Washington","KY"
"x.1151",0.556,0.394,"Wayne","KY"
"x.1161",0.287,0.485,"Webster","KY"
"x.1171",0.525,0.411,"Whitley","KY"
"x.1181",0.421,0.507,"Wolfe","KY"
"x.1191",0.463,0.477,"Woodford","KY"
"x15",0.601,0.399,"Baker","OR"
"x.1103",0.612,0.388,"Benton","OR"
"x.260",0.515,0.485,"Clackamas","OR"
"x.350",0.559,0.441,"Clatsop","OR"
"x.438",0.581,0.419,"Columbia","OR"
"x.538",0.561,0.439,"Coos","OR"
"x.630",0.548,0.452,"Crook","OR"
"x.724",0.524,0.476,"Curry","OR"
"x.824",0.533,0.467,"Deschutes","OR"
"x.923",0.558,0.442,"Douglas","OR"
"x.1022",0.498,0.502,"Gilliam","OR"
"x.1122",0.641,0.359,"Grant","OR"
"x.1221",0.599,0.401,"Harney","OR"
"x.1321",0.607,0.393,"Hood River","OR"
"x.1421",0.563,0.437,"Jackson","OR"
"x.1521",0.52,0.48,"Jefferson","OR"
"x.1621",0.567,0.433,"Josephine","OR"
"x.1717",0.554,0.446,"Klamath","OR"
"x.1814",0.596,0.404,"Lake","OR"
"x.1913",0.61,0.39,"Lane","OR"
"x.2012",0.537,0.463,"Lincoln","OR"
"x.2118",0.581,0.419,"Linn","OR"
"x.2214",0.52,0.48,"Malheur","OR"
"x.2313",0.53,0.47,"Marion","OR"
"x.2411",0.532,0.468,"Morrow","OR"
"x.2511",0.57,0.43,"Multnomah","OR"
"x.2611",0.545,0.455,"Polk","OR"
"x.2711",0.547,0.453,"Sherman","OR"
"x.2811",0.538,0.462,"Tillamook","OR"
"x.2911",0.533,0.467,"Umatilla","OR"
"x.3011",0.591,0.409,"Union","OR"
"x.3117",0.599,0.401,"Wallowa","OR"
"x.3213",0.588,0.412,"Wasco","OR"
"x.3312",0.535,0.465,"Washington","OR"
"x.3411",0.642,0.358,"Wheeler","OR"
"x.3511",0.548,0.452,"Yamhill","OR"
