"","state_abbreviation","county","income","hispanic","white","college","density","female"
"391","GA","Baker ",27353,4.8,47.9,10.9,10.1,52.1
"392","GA","Baldwin ",32751,2.1,53.3,19,177.3,49.6
"393","GA","Banks ",41141,6.5,88.1,11.6,79.3,49.3
"394","GA","Barrow ",53274,9.6,73.4,17.1,432.7,50.7
"395","GA","Bartow ",47197,8,78.7,15.9,217.9,50.7
"396","GA","Ben Hill ",28547,6.3,56.5,9.8,70.5,52.5
"397","GA","Berrien ",32258,5,82.4,12.8,42.7,50.7
"398","GA","Bibb ",37550,3.2,40.3,22.5,622.8,53
"399","GA","Bleckley ",36073,2.6,68.9,14.9,60.5,52.2
"400","GA","Brantley ",36070,2.1,92.5,6.4,41.6,50.6
"401","GA","Brooks ",34419,5.6,57.6,11.4,32.9,51.2
"402","GA","Bryan ",64707,6.3,74,30.6,69.3,50.2
"403","GA","Bulloch ",35840,3.7,64.2,27.7,104.4,50.6
"404","GA","Burke ",31494,3,47,9.9,28.2,52
"405","GA","Butts ",49754,3.1,67.6,8.4,128.3,47.1
"406","GA","Calhoun ",26986,4.7,32.9,11.5,23.9,40
"407","GA","Camden ",51990,6.2,70,19.5,82.4,48.6
"408","GA","Candler ",35070,11.2,62.8,14.6,45.3,50.4
"409","GA","Carroll ",46147,6.5,71.8,18.3,221.5,50.9
"410","GA","Catoosa ",47087,2.8,91.4,17.5,394.3,51.3
"411","GA","Charlton ",40111,3.5,62.1,9.4,15.7,39.7
"412","GA","Chatham ",45794,6,49.8,31.3,621.7,51.8
"413","GA","Chattahoochee ",48758,15,60,27.5,45.3,32.7
"414","GA","Chattooga ",33228,4.8,82.8,7.7,83,48.8
"415","GA","Cherokee ",67261,10.1,80.1,34.2,508.3,50.7
"416","GA","Clarke ",33060,10.8,56,39.5,979.1,52.3
"417","GA","Clay ",21192,1.1,37.6,7.9,16.3,53.1
"418","GA","Clayton ",40606,13.1,13.5,18,1832.5,52.6
"419","GA","Clinch ",30345,4.2,65.7,12.5,8.5,51
"420","GA","Cobb ",63920,12.7,53.9,43.7,2026.4,51.6
"421","GA","Coffee ",35693,10.9,59.4,12.9,73.7,48.7
"422","GA","Colquitt ",32484,18.3,57.1,13.1,83.6,50.4
"423","GA","Columbia ",69306,6.2,70.5,34.1,427.6,51.1
"424","GA","Cook ",34985,6.1,64.4,12.4,75.8,51.6
"425","GA","Coweta ",60813,6.7,71.9,26.9,288.8,51.2
"426","GA","Crawford ",41586,3.1,73.7,13,38.9,49.4
"427","GA","Crisp ",35240,3.2,51.3,15.5,86,52.4
"428","GA","Dade ",43205,2.1,93.9,17,95.6,50.8
"429","GA","Dawson ",53525,4,93,24.4,105.9,49.9
"430","GA","Decatur ",30619,5.6,51.6,14.7,46.6,51.4
"431","GA","DeKalb ",50856,8.9,29.9,39.7,2585.7,52.5
"432","GA","Dodge ",37292,3.4,65.6,15.2,44,47.8
"433","GA","Dooly ",29012,7.3,42.2,10.1,38.1,46
"434","GA","Dougherty ",31671,2.6,27.3,17.8,287.7,53.5
"435","GA","Douglas ",52691,8.9,44.9,24.4,661.8,52.1
"436","GA","Early ",28853,2.2,46.5,12.9,21.5,52.8
"437","GA","Echols ",31375,28.1,63.6,5.7,9.7,50.7
"438","GA","Effingham ",63030,3.7,79.6,16.8,109.4,50.1
"439","GA","Elbert ",35817,5.5,63.7,11.3,57.4,52.1
"440","GA","Emanuel ",32046,4.6,59.8,11.6,33.2,51.1
"441","GA","Evans ",36788,12,56.2,14.1,60.2,51.7
"442","GA","Fannin ",34239,2,95.2,14.4,61.2,51.1
"443","GA","Fayette ",79977,7.1,65,42.6,548.3,51.6
"444","GA","Floyd ",40821,10.3,72.3,18.1,188.9,51.5
"445","GA","Forsyth ",86569,9.7,76.4,43.8,783.5,50.3
"446","GA","Franklin ",34830,4.3,83.8,13,84.5,51.2
"447","GA","Fulton ",56857,7.6,40.5,48.2,1748,51.4
"448","GA","Gilmer ",39140,10.9,86.8,16.4,66.3,50.1
"449","GA","Glascock ",37760,1.5,86.5,9.6,21.4,51.1
"450","GA","Glynn ",46407,6.5,64.1,26.1,189.7,52.7
"451","GA","Gordon ",40926,15.2,78.2,14.2,155.1,50.4
"452","GA","Grady ",30571,10.9,58.7,11.3,55,51.3
"453","GA","Greene ",42565,6.3,56,21.4,41.3,51.2
"454","GA","Gwinnett ",60445,20.5,40.6,33.9,1871.2,51
"455","GA","Habersham ",39306,13.6,78.7,17.1,155.5,52.6
"456","GA","Hall ",50853,27.5,61.9,22.8,457.5,50.1
"457","GA","Hancock ",25000,1.7,24.3,9.9,20,46
"458","GA","Haralson ",39993,1.4,91.1,14.1,102,51.6
"459","GA","Harris ",69223,3.3,77.2,27.3,69,50.2
"460","GA","Hart ",35615,3.6,75.4,15.5,108.5,50.4
"461","GA","Heard ",39909,2.5,84.4,8.2,40,50.1
"462","GA","Henry ",60781,6.4,48.6,26.1,633,52.2
"463","GA","Houston ",54893,6.6,58.3,24,372.5,51.3
"464","GA","Irwin ",40771,3.6,68.4,10.3,26.9,49.2
"465","GA","Jackson ",53179,6.7,82.7,19.5,178.1,50.4
"466","GA","Jasper ",42192,4.2,72.5,13.3,37.8,51.3
"467","GA","Jeff Davis ",36296,11.3,72,9.6,45.6,50.5
"468","GA","Jefferson ",26968,3.3,41.9,8.8,32.2,51.4
"469","GA","Jenkins ",26104,5.1,51.2,13.1,24,46.8
"470","GA","Johnson ",36722,2.2,61.8,11.5,32.9,43.5
"471","GA","Jones ",51497,1.5,71.9,17.8,72.8,51.6
"472","GA","Lamar ",41016,2.2,64.1,14.2,99.8,52.3
"473","GA","Lanier ",39452,5.5,68,12,54.4,49.6
"474","GA","Laurens ",34793,2.5,59.3,15,60,52.4
"475","GA","Lee ",60104,2.6,72.9,20.5,79.5,49.8
"476","GA","Liberty ",43832,12.1,42.2,20.2,129.5,48.8
"477","GA","Lincoln ",35625,1.3,65.6,11.4,38,50.7
"478","GA","Long ",42651,11.8,59.1,14,36.1,49.7
"479","GA","Lowndes ",37365,5.5,54.9,23.1,220.2,51.1
"480","GA","Lumpkin ",43775,4.9,90.5,25.4,105.9,50.2
"481","GA","McDuffie ",37487,2.8,54.7,13.7,85,53.1
"482","GA","McIntosh ",39068,2,61.4,15.8,33.8,50.8
"483","GA","Macon ",30240,4.1,34,10.1,36.8,45.9
"484","GA","Madison ",42549,4.7,83.6,14.9,99.6,50.7
"485","GA","Marion ",33301,7.6,59.3,10.6,23.9,50.1
"486","GA","Meriwether ",37333,2.2,56.5,8.9,43.9,52
"487","GA","Miller ",32260,2,68.2,11.9,21.7,51.6
"488","GA","Mitchell ",32054,4.3,46.3,9.6,45.9,47.7
"489","GA","Monroe ",48630,2.3,72,18.7,66.8,49.6
"490","GA","Montgomery ",32702,6,66.5,15.5,38.1,48.3
"491","GA","Morgan ",47729,3,71.7,22.7,51.4,51.5
"492","GA","Murray ",34888,14,83.3,9.6,115,50.3
"493","GA","Muscogee ",41339,7.5,42.4,22.6,877.5,50.8
"494","GA","Newton ",50580,4.9,50,19.4,367.3,52.3
"495","GA","Oconee ",75004,4.6,84.9,43.1,178,51.1
"496","GA","Oglethorpe ",45729,3.9,76.1,18,33.9,50.7
"497","GA","Paulding ",61837,5.7,73.8,23.4,455.8,51.2
"498","GA","Peach ",39844,7.3,45.3,19.2,184.3,51.7
"499","GA","Pickens ",51383,3.1,93.1,22.5,126.8,50.7
"500","GA","Pierce ",39067,5.1,83.5,11.8,59.3,50.4
"501","GA","Pike ",53865,1.6,86,17,82.7,50.5
"502","GA","Polk ",39208,13,72.1,13.1,133.6,50.9
"503","GA","Pulaski ",41550,3.5,62.7,9.6,48.2,56.8
"504","GA","Putnam ",44764,6.6,65,18.7,61.6,51.5
"505","GA","Quitman ",31068,1.4,50.4,3.2,16.6,50.6
"506","GA","Rabun ",35423,8.4,87.7,26.6,44,50.6
"507","GA","Randolph ",30023,2.1,36.3,17.4,18,53.4
"508","GA","Richmond ",37749,4.6,36.4,20.5,618.4,51.6
"509","GA","Rockdale ",52579,10,36.4,26,656.5,52.7
"510","GA","Schley ",38425,4.4,73,14.2,30,52.6
"511","GA","Screven ",34848,1.7,55.1,13,22.6,51.2
"512","GA","Seminole ",30521,2.9,62.3,12.2,37.1,52
"513","GA","Spalding ",41534,4.5,60,14.8,326.1,51.7
"514","GA","Stephens ",37898,3,82.7,14.2,146.1,51.8
"515","GA","Stewart ",23451,24.5,27.6,10,13.2,38.9
"516","GA","Sumter ",33796,5.3,40,18.5,68,52.6
"517","GA","Talbot ",32424,2.1,40.1,12.3,17.5,52.3
"518","GA","Taliaferro ",25465,4,37.5,9.3,8.8,51.1
"519","GA","Tattnall ",37587,10.5,58.8,11.6,53.2,42.3
"520","GA","Taylor ",27455,2.3,58.4,10.1,23.6,52.5
"521","GA","Telfair ",26634,14.7,49.4,10.9,37.7,40.7
"522","GA","Terrell ",32628,2.6,35.6,8.7,27.8,52.5
"523","GA","Thomas ",34035,3.4,57.8,18.1,82.1,52.6
"524","GA","Tift ",34591,11.3,56.6,16,154.9,51.9
"525","GA","Toombs ",31189,11.2,61.1,15.2,74.8,52.6
"526","GA","Towns ",36570,2.6,94.7,22.7,62.9,52.2
"527","GA","Treutlen ",37894,2.9,63.7,12.3,34.5,49.7
"528","GA","Troup ",41161,3.7,57.8,18.6,161.9,51.8
"529","GA","Turner ",28326,4.5,55,9.8,31.3,50.9
"530","GA","Twiggs ",31234,1.9,55.7,10.8,25.2,51.1
"531","GA","Union ",40009,3.1,94,19.6,66.3,51.6
"532","GA","Upson ",35329,2.5,67.7,11.4,84,52.3
"533","GA","Walker ",39963,2,91.3,14,154,50.7
"534","GA","Walton ",52369,3.9,76.5,18.4,257.2,51.3
"535","GA","Ware ",34572,3.7,64.3,13.9,40.7,50.5
"536","GA","Warren ",27796,1.1,37.6,7.3,20.5,53.1
"537","GA","Washington ",33652,2.2,43.9,11.1,31.2,49.6
"538","GA","Wayne ",35830,6.3,71,11.4,46.9,48.1
"539","GA","Webster ",35718,3.7,52.8,11.2,13.4,50
"540","GA","Wheeler ",24382,5.4,55.8,8.5,25.1,34.8
"541","GA","White ",40670,2.9,92.3,19.3,112.8,51
"542","GA","Whitfield ",40471,33.3,60.1,14,353.2,50.3
"543","GA","Wilcox ",32928,4.1,58.7,8.6,24.5,41.1
"544","GA","Wilkes ",28983,3.9,51.7,14.5,22.6,52.2
"545","GA","Wilkinson ",36173,2.7,56.8,8.2,21.4,51.9
"546","GA","Worth ",35792,2.1,67.6,8.1,38,52
"547","HI","Hawaii ",51250,12.3,30.6,25.6,45.9,50
"548","HI","Honolulu ",72764,9.5,19.6,32.1,1586.7,49.2
"549","HI","Kalawao ",59375,1.1,27,41.5,7.5,52.8
"550","HI","Kauai ",62052,10.8,30.1,25.1,108.2,49.9
"551","HI","Maui ",63512,11,31.3,25.7,133.3,49.7
"552","ID","Ada ",55210,7.7,85.5,36,372.8,49.9
"553","ID","Adams ",35434,3.2,93.6,21.9,2.9,48.5
"554","ID","Bannock ",43534,8,85,26.8,74.5,50.2
"555","ID","Bear Lake ",44964,4.2,93.7,16.1,6.1,50.3
"556","ID","Benewah ",39049,3.3,84.5,13.4,12,49.5
"557","ID","Bingham ",47941,17.8,74.4,17.3,21.8,49.8
"558","ID","Blaine ",64042,20.7,76.9,44.7,8.1,49.2
"559","ID","Boise ",41056,3.6,92.3,24.1,3.7,48.4
"560","ID","Bonner ",41414,2.9,93.4,21.1,23.6,50
"561","ID","Bonneville ",50872,12.5,83.8,26,55.9,50.4
"562","ID","Boundary ",37003,4.2,91,15.4,8.6,49.4
"563","ID","Butte ",41131,5.8,90.6,17.9,1.3,49.5
"564","ID","Camas ",41154,7.5,87.3,22.3,1,48.8
"565","ID","Canyon ",42105,24.6,71.3,16.8,321.6,50.6
"566","ID","Caribou ",53586,5.3,92.2,17.5,3.9,49.8
"567","ID","Cassia ",42039,26.6,71,15.6,8.9,49.3
"568","ID","Clark ",33200,42.6,54,11.4,0.6,47.3
"569","ID","Clearwater ",40134,3.6,91.3,15.5,3.6,45.2
"570","ID","Custer ",39541,4.1,93.2,26.3,0.9,48.7
"571","ID","Elmore ",42842,16.2,74.1,16.9,8.8,47.8
"572","ID","Franklin ",44962,6.9,91.1,17.4,19.3,49.3
"573","ID","Fremont ",44520,12.4,85.2,19.7,7.1,47.8
"574","ID","Gem ",44432,8.2,87.6,15.8,29.8,50.3
"575","ID","Gooding ",37050,28.6,68.6,12.1,21.2,48.7
"576","ID","Idaho ",37349,3.1,91.5,14.8,1.9,47.8
"577","ID","Jefferson ",52023,10.3,87.2,22,23.9,49.7
"578","ID","Jerome ",40126,34,63.4,13.4,37.5,49.3
"579","ID","Kootenai ",49002,4.3,91.1,23.3,111.3,50.6
"580","ID","Latah ",41735,4.1,89.8,44.1,34.6,48.5
"581","ID","Lemhi ",34122,3.1,93.3,23.8,1.7,49.3
"582","ID","Lewis ",36000,4,86.8,16.2,8,49.8
"583","ID","Lincoln ",42433,30.2,66.8,11.8,4.3,48.5
"584","ID","Madison ",32059,7,89.4,33.7,80,49.7
"585","ID","Minidoka ",43266,33.7,63.6,9.9,26.5,49.4
"586","ID","Nez Perce ",46503,3.7,87.4,21.1,46.3,50.5
"587","ID","Oneida ",40842,4.1,93.7,13.2,3.6,50.4
"588","ID","Owyhee ",32175,26.5,68.2,8.2,1.5,49.1
"589","ID","Payette ",43649,16.7,79.2,16.4,55.6,50.5
"590","ID","Power ",44212,31.1,64.3,15.9,5.6,49.1
"591","ID","Shoshone ",38440,3.4,92.1,13.5,4.9,49.5
"592","ID","Teton ",53931,17.7,80.4,34.4,22.6,48.2
"593","ID","Twin Falls ",43886,15.2,80.8,16.3,40.2,50.7
"594","ID","Valley ",50473,4.4,92.9,34.3,2.7,48.1
"595","ID","Washington ",37453,17.2,79.2,16.7,7,50.1
"596","IL","Adams ",45073,1.4,92.4,21.3,78.5,51.1
"597","IL","Alexander ",26972,2.1,58.8,8.4,35,49.7
"598","IL","Bond ",48163,3.5,87.8,19.1,46.7,47.3
"599","IL","Boone ",60893,20.6,74.4,19.3,193,50.2
"600","IL","Brown ",42194,6.2,74,12.2,22.7,35.6
"601","IL","Bureau ",48977,8.6,88.7,17.4,40.2,51
"602","IL","Calhoun ",50436,1.1,97.7,14.4,20,49.9
"603","IL","Carroll ",47985,3.4,93.6,15.1,34.6,50
"604","IL","Cass ",45734,18.9,76.5,13,36.3,49.3
"605","IL","Champaign ",45808,5.7,69.1,42.4,201.8,50.1
"606","IL","Christian ",45145,1.6,95.1,13.5,49.1,49.1
"607","IL","Clark ",47405,1.4,96.8,17.6,32.6,50.8
"608","IL","Clay ",40640,1.5,96.3,14,29.5,50.7
"609","IL","Clinton ",61720,3.1,91.6,20.3,79.7,48.2
"610","IL","Coles ",37040,2.3,91.1,24.2,106,51.7
"611","IL","Cook ",54548,25,43,34.7,5495.1,51.5
"612","IL","Crawford ",46216,2.2,91.3,17.1,44.7,48.4
"613","IL","Cumberland ",43958,1,96.7,13.8,31.9,49.9
"614","IL","DeKalb ",53375,10.9,77.6,29.8,166.6,50.5
"615","IL","De Witt ",51051,2.3,95.1,16.8,41.7,50.1
"616","IL","Douglas ",52741,7.3,90.4,16.2,48,50.4
"617","IL","DuPage ",78487,14.1,68.1,46.3,2799.8,51
"618","IL","Edgar ",42133,1,97.3,18.2,29.8,51.5
"619","IL","Edwards ",39075,1.2,96.9,10.5,30.2,51.1
"620","IL","Effingham ",52108,1.9,96.4,20,71.5,50.2
"621","IL","Fayette ",44722,1.7,92.2,13.1,30.9,46.9
"622","IL","Ford ",48866,2.9,94.6,16.3,29,50.5
"623","IL","Franklin ",36273,1.6,96.1,13.1,96.8,50.9
"624","IL","Fulton ",45130,2.7,92.2,14.5,42.8,47.8
"625","IL","Gallatin ",40330,1.9,95.4,12,17.3,51.5
"626","IL","Greene ",43502,1,96.9,12.9,25.6,49.7
"627","IL","Grundy ",64541,9.3,87.4,20.2,119.8,50.1
"628","IL","Hamilton ",38417,1.6,96.6,15.7,19.5,51
"629","IL","Hancock ",43925,1.5,96.7,18.4,24.1,50.6
"630","IL","Hardin ",37071,1.6,95.2,12.2,24.3,49.4
"631","IL","Henderson ",49389,1.5,96.5,15.7,19.3,51
"632","IL","Henry ",52940,5.4,91,19.8,61.3,50.2
"633","IL","Iroquois ",47079,6.5,90.6,14.6,26.6,51.1
"634","IL","Jackson ",33479,4.2,74.5,35.1,103.1,49.8
"635","IL","Jasper ",52233,1.4,97.1,16.2,19.6,50
"636","IL","Jefferson ",42981,2.3,86.1,15.9,68,48.6
"637","IL","Jersey ",53954,1.3,96.3,16.2,62.2,51.3
"638","IL","Jo Daviess ",50817,3.1,94.8,23.7,37.7,49.8
"639","IL","Johnson ",40760,3.3,87.2,15.1,36.6,44.3
"640","IL","Kane ",69530,31.3,58.1,31.7,990.8,50.2
"641","IL","Kankakee ",50102,9.9,72.3,17.1,167.7,50.9
"642","IL","Kendall ",81765,16.9,71.9,34.2,358.2,50.6
"643","IL","Knox ",40667,5.6,83.7,17,73.9,49.7
"644","IL","Lake ",77469,21,63.3,41.9,1585.6,50.1
"645","IL","LaSalle ",52640,8.9,86.9,15.9,100.4,49.8
"646","IL","Lawrence ",40145,3.7,85,8.4,45.2,44
"647","IL","Lee ",50060,5.8,87,16,49.7,47.2
"648","IL","Livingston ",54614,4.5,88.2,14.5,37.3,49.6
"649","IL","Logan ",47133,3.4,86.6,16.2,49,49.4
"650","IL","McDonough ",36031,2.7,88.1,33.3,55.3,50.5
"651","IL","McHenry ",76145,12.4,82.2,32.4,511.9,50.1
"652","IL","McLean ",62089,4.8,80.3,42.8,143.3,51.3
"653","IL","Macon ",46559,2.1,77.2,22.3,190.8,52.2
"654","IL","Macoupin ",49590,1,96.3,15.9,55.4,50.6
"655","IL","Madison ",53633,3.1,85.7,24.4,376.3,51.1
"656","IL","Marion ",41010,1.8,91.8,13.9,68.9,51.1
"657","IL","Marshall ",51504,3.3,94.6,17,32.7,50.7
"658","IL","Mason ",42260,1.1,96.6,14.2,27.2,50.4
"659","IL","Massac ",43615,2.6,89,16.7,65,52.4
"660","IL","Menard ",58190,1.4,95.8,22.1,40.4,51.3
"661","IL","Mercer ",53136,2.1,96.2,14.7,29.3,50.6
"662","IL","Monroe ",68482,1.6,96.6,25.9,85.6,50.3
"663","IL","Montgomery ",41952,1.7,93.6,12.1,42.8,47.7
"664","IL","Morgan ",46809,2.3,89.1,20.7,62.5,49.4
"665","IL","Moultrie ",46622,1.3,97.1,14.1,44.2,51
"666","IL","Ogle ",54541,9.6,87.7,19.9,70.5,50.3
"667","IL","Peoria ",50712,4.6,71.2,28.9,301.2,51.6
"668","IL","Perry ",42078,3.1,86.1,14.3,50.6,45.6
"669","IL","Piatt ",63027,1.1,96.7,26.5,38.1,50.3
"670","IL","Pike ",39845,1.2,95.6,13.5,19.8,49.9
"671","IL","Pope ",38371,1.9,89.6,13.5,12.1,47.1
"672","IL","Pulaski ",33717,1.9,63.6,12,30.9,51.9
"673","IL","Putnam ",54196,4.7,93.1,14.1,37.5,49.1
"674","IL","Randolph ",47427,2.8,85.8,11.8,58.2,45
"675","IL","Richland ",44070,1.5,95.9,20.4,45.1,50.6
"676","IL","Rock Island ",48702,12.4,73.7,21.8,345,50.8
"677","IL","St. Clair ",50578,3.8,62.5,25.3,410.6,51.8
"678","IL","Saline ",37800,1.7,91.7,14.6,65.6,50.7
"679","IL","Sangamon ",55449,2.2,81.4,32.5,227.4,52
"680","IL","Schuyler ",48138,1.8,93.9,18.6,17.3,47.3
"681","IL","Scott ",49669,1.2,97,13.7,21.3,51.9
"682","IL","Shelby ",47188,1,97.4,14.4,29.5,50.6
"683","IL","Stark ",54203,1.1,96.5,16.7,20.8,50.7
"684","IL","Stephenson ",43472,3.5,83.8,17.9,84.5,51.6
"685","IL","Tazewell ",56067,2.2,94.2,23.6,208.6,50.6
"686","IL","Union ",41848,5.1,91.8,20.1,43.1,50.1
"687","IL","Vermilion ",41400,4.7,79.3,13.9,90.9,50.3
"688","IL","Wabash ",47365,1.5,95.5,16.8,53.5,50.6
"689","IL","Warren ",43536,9.4,85.1,20.9,32.6,51.2
"690","IL","Washington ",52832,1.6,96.2,20.5,26.2,49.9
"691","IL","Wayne ",43605,1.3,96.4,11.8,23.5,50.7
"692","IL","White ",42914,1.3,96.9,14.3,29.6,51.4
"693","IL","Whiteside ",47667,11.8,84.9,16.2,85.5,50.7
"694","IL","Will ",76147,16.6,65.3,32.3,809.6,50.4
"695","IL","Williamson ",43125,2.4,90.7,22.5,157.9,50.3
"696","IL","Winnebago ",47072,12,70.8,21.2,575.2,51.2
"697","IL","Woodford ",66639,1.8,95.7,27.6,73.3,50.4
"698","IN","Adams ",46695,4.4,94.1,14.7,101.4,50.5
"699","IN","Allen ",49370,7.2,74.9,26.3,540.6,51.2
"700","IN","Bartholomew ",54165,6.4,84.6,26.5,188.7,50.1
"701","IN","Benton ",48711,5.4,92.6,16,21.8,50.3
"702","IN","Blackford ",39225,1.6,95.9,9.8,77.3,50.4
"703","IN","Boone ",67255,2.6,92.1,41,133.9,50.5
"704","IN","Brown ",51568,1.6,95.9,21.1,48.9,50.2
"705","IN","Carroll ",50542,4.1,94.3,16,54.1,50.3
"706","IN","Cass ",41940,13.8,81.8,13.7,94.5,50
"707","IN","Clark ",50496,5.2,84.3,18.9,295.6,50.9
"708","IN","Clay ",46430,1.3,96.5,14,75.2,50.8
"709","IN","Clinton ",48953,14.9,83.4,13,82,50.5
"710","IN","Crawford ",39700,1.4,96.5,12.1,35.1,49.3
"711","IN","Daviess ",47165,4.6,92.7,12.4,73.7,50.2
"712","IN","Dearborn ",56946,1.2,96.4,17.6,164.1,50.2
"713","IN","Decatur ",48047,1.8,95.5,13.7,69.1,50.6
"714","IN","DeKalb ",47247,2.7,95.1,16.3,116.4,50.2
"715","IN","Delaware ",37474,2.1,87.4,22.5,300.1,51.9
"716","IN","Dubois ",54780,6.7,91.8,18.9,98,50.6
"717","IN","Elkhart ",45693,15.1,75.9,18.2,426.5,50.5
"718","IN","Fayette ",37391,0.9,96,8.9,112.9,50.5
"719","IN","Floyd ",53961,2.9,88.7,22.6,504.1,51.4
"720","IN","Fountain ",45884,2.6,95.4,11.9,43.6,50.2
"721","IN","Franklin ",49516,1.1,97.1,18.1,60.1,49.8
"722","IN","Fulton ",40168,5.1,92.2,12.7,56.6,50
"723","IN","Gibson ",49329,1.6,94.1,16.1,68.7,50.1
"724","IN","Grant ",39747,4,85.6,16.8,169.2,52.2
"725","IN","Greene ",43980,1.3,96.8,12.1,61.1,50.1
"726","IN","Hamilton ",82468,3.8,84.9,55.1,696.4,51.2
"727","IN","Hancock ",62981,2.1,93.4,26.3,228.8,50.9
"728","IN","Harrison ",50510,1.8,96,14.9,81.2,50.1
"729","IN","Hendricks ",68297,3.5,86.4,32.2,357.4,50.2
"730","IN","Henry ",40679,1.6,93.9,14.9,126.2,48.3
"731","IN","Howard ",43590,3.1,86,20,282.4,51.7
"732","IN","Huntington ",46148,2.1,95.4,16.9,97,50.8
"733","IN","Jackson ",46501,6.4,90.1,14.5,83.2,50.2
"734","IN","Jasper ",57500,5.9,91.7,14.9,59.8,50.2
"735","IN","Jay ",40235,3,95.3,10,55.4,50.7
"736","IN","Jefferson ",43795,2.5,93.4,17.8,89.9,51.8
"737","IN","Jennings ",44128,2.3,95.3,9.6,75.7,49.8
"738","IN","Johnson ",61231,3.4,90.8,26.8,435.8,50.7
"739","IN","Knox ",42119,1.8,92.9,14.1,74.5,49.3
"740","IN","Kosciusko ",50859,8,88.6,20.3,145.6,50.1
"741","IN","LaGrange ",47617,3.9,94.5,10.3,97.8,49.6
"742","IN","Lake ",49035,18.1,54.7,19.8,994.1,51.6
"743","IN","LaPorte ",47538,6.1,80.1,17.3,186.3,48.2
"744","IN","Lawrence ",42627,1.6,95.9,13.7,102.7,50.5
"745","IN","Madison ",43120,3.7,85.6,16.7,291.3,50.1
"746","IN","Marion ",42334,9.8,57.9,27.4,2279.6,51.8
"747","IN","Marshall ",45709,9.4,88.2,16.6,106.1,50.5
"748","IN","Martin ",44740,0.8,97.5,10.8,30.8,49.4
"749","IN","Miami ",42023,2.8,89.5,10.6,98.7,46.3
"750","IN","Monroe ",40052,3.3,84.5,43.4,349.7,50.2
"751","IN","Montgomery ",46797,4.5,92.5,17.8,75.6,49.6
"752","IN","Morgan ",55354,1.4,96.3,16.1,170.5,50.4
"753","IN","Newton ",50262,5.9,92.2,8.5,35.5,49
"754","IN","Noble ",47117,10.1,87.7,13.2,115.7,50.1
"755","IN","Ohio ",50377,1.2,97.1,13.1,71.1,50.2
"756","IN","Orange ",38826,1.3,95.7,12.6,49.8,50.2
"757","IN","Owen ",43950,1.3,96.4,11,56,49.7
"758","IN","Parke ",43870,1.3,94.7,13.7,39,53.1
"759","IN","Perry ",47596,1.3,94.3,10.9,50.7,46.2
"760","IN","Pike ",40680,1.3,96.9,11.2,38.4,49.6
"761","IN","Porter ",62794,9.5,84.1,25.4,393,50.9
"762","IN","Posey ",58750,1.1,96.3,20.5,63.3,50.3
"763","IN","Pulaski ",44764,2.9,94.5,13.1,30.9,49.3
"764","IN","Putnam ",50821,1.9,91.8,16.2,79,47
"765","IN","Randolph ",40904,3.2,94.5,12.4,57.9,50.8
"766","IN","Ripley ",47537,1.7,96.2,15.9,64.6,50.7
"767","IN","Rush ",47401,1.4,96.2,15.1,42.6,50.6
"768","IN","St. Joseph ",44582,8.2,74.2,26.5,583,51.5
"769","IN","Scott ",42898,1.8,96.3,11.5,127,50.8
"770","IN","Shelby ",51440,3.9,93,14.8,108.1,50.6
"771","IN","Spencer ",52991,2.8,95.2,15.5,52.8,49.3
"772","IN","Starke ",40126,3.4,94.5,12.3,75.6,50.4
"773","IN","Steuben ",48080,3.2,94.3,19.4,110.7,49.3
"774","IN","Sullivan ",43510,1.8,92,13.2,48,45.7
"775","IN","Switzerland ",44143,1.7,96.2,9.9,48.1,48.9
"776","IN","Tippecanoe ",44246,8,78.1,35.7,345.7,48.9
"777","IN","Tipton ",52686,2.6,95.6,16.4,61.2,50.1
"778","IN","Union ",44161,1.4,95.9,18.4,46.6,50.7
"779","IN","Vanderburgh ",43540,2.5,84.4,22.6,769.7,51.6
"780","IN","Vermillion ",42524,1.1,97.2,13,63.1,50.6
"781","IN","Vigo ",40692,2.6,85.9,21.2,267.4,49.3
"782","IN","Wabash ",45286,2.4,94.6,17,79.7,51.4
"783","IN","Warren ",52317,1.4,97,16,23.3,50.3
"784","IN","Warrick ",62351,1.7,93.2,27.2,155.1,50.6
"785","IN","Washington ",41986,1.4,96.9,11.9,55,50.1
"786","IN","Wayne ",38350,2.7,88.7,17.4,171.5,51.5
"787","IN","Wells ",48136,2.5,95.3,15.7,75.1,50.7
"788","IN","White ",51444,7.7,90.2,15.4,48.8,50.3
"789","IN","Whitley ",51914,2,95.7,16.7,99.2,50.1
"790","IA","Adair ",47892,1.7,96.8,16.3,13.5,50.9
"791","IA","Adams ",45871,1.1,96.9,13.7,9.5,49.9
"792","IA","Allamakee ",48831,5.7,91.5,14.9,22.4,48.8
"793","IA","Appanoose ",39208,1.5,96.2,18.3,25.9,50.6
"794","IA","Audubon ",48313,1.1,97.3,16.6,13.8,51.6
"795","IA","Benton ",56669,1.3,96.7,18.8,36.4,50.3
"796","IA","Black Hawk ",45747,4.2,82.7,25.3,231.7,51.1
"797","IA","Boone ",51826,2.4,94.6,20.3,46,49.7
"798","IA","Bremer ",61216,1.4,95.8,28.3,55.7,50.8
"799","IA","Buchanan ",55553,1.4,96.6,17.1,36.7,50.2
"800","IA","Buena Vista ",46951,24.8,62.6,20,35.2,49.4
