"","state_abbreviation","county","income","hispanic","white","college","density","female"
"90","AK","Skagway Municipality",71667,4.3,86.2,24.3,2.1,47.6
"91","AK","Southeast Fairbanks Census Area",56801,4.9,76.2,23.1,0.3,44.4
"92","AK","Valdez-Cordova Census Area",74878,4.7,70.7,23.9,0.3,47.3
"93","AK","Wade Hampton Census Area",40176,1.1,4.9,5.4,0.4,47.5
"94","AK","Wrangell City and Borough",45841,2.2,69.2,16.7,0.9,48.2
"95","AK","Yakutat City and Borough",72500,3.3,37.2,22.7,0.1,44.6
"96","AK","Yukon-Koyukuk Census Area",34710,2,22,9.3,0,46.3
"97","AZ","Apache ",31476,6.4,19,10.4,6.4,50.6
"98","AZ","Cochise ",45755,34.6,56.1,22.5,21.3,49.2
"99","AZ","Coconino ",49555,13.9,54.9,31.1,7.2,50.6
"100","AZ","Gila ",39954,18.8,63.2,16.1,11.3,50.4
"101","AZ","Graham ",44943,32.1,51.4,12.3,8.1,46.5
"102","AZ","Greenlee ",47992,46.6,47.8,11.1,4.6,47.7
"103","AZ","La Paz ",35776,25.7,59.3,9.3,4.6,48.9
"104","AZ","Maricopa ",53596,30.3,57,29.8,414.9,50.6
"105","AZ","Mohave ",39200,15.8,78,11.9,15,49.7
"106","AZ","Navajo ",36927,11.1,42.2,14.9,10.8,49.8
"107","AZ","Pima ",45841,36.1,53.3,29.8,106.7,50.8
"108","AZ","Pinal ",50027,29.2,57.9,18,70,47.8
"109","AZ","Santa Cruz ",37745,82.8,15.6,19.8,38.3,52
"110","AZ","Yavapai ",42987,14.2,80.9,24.2,26,51.1
"111","AZ","Yuma ",41595,61.7,32.9,14.3,35.5,48.8
"112","AR","Arkansas ",39633,3,70.2,12.4,19.2,51.6
"113","AR","Ashley ",35683,5.2,67.7,12.2,23.6,51.8
"114","AR","Baxter ",35343,2,95.2,16.5,74.9,51.8
"115","AR","Benton ",54515,16.2,74.9,28.7,261.2,50.5
"116","AR","Boone ",38506,2.3,94.3,15.4,62.5,50.8
"117","AR","Bradley ",30409,14.3,56.3,10.8,17.7,51.1
"118","AR","Calhoun ",30980,3.9,72.3,7.4,8.5,49.2
"119","AR","Carroll ",36584,14.6,81.1,17.3,43.6,50.7
"120","AR","Chicot ",26201,5.6,39.2,12.6,18.3,50.8
"121","AR","Clark ",32721,4.4,69.6,21.4,26.6,52.1
"122","AR","Clay ",31502,1.8,95.7,9.5,25.2,51.1
"123","AR","Cleburne ",40246,2.6,94.8,16.8,46.9,50.7
"124","AR","Cleveland ",39420,2.2,84.7,13.8,14.5,51.1
"125","AR","Columbia ",35128,2.7,59.4,20.3,32.1,52
"126","AR","Conway ",35225,4,81.5,14.7,38.5,50.9
"127","AR","Craighead ",41393,4.7,78,24.4,136.4,51.3
"128","AR","Crawford ",39479,6.7,85.6,14.3,104.4,50.7
"129","AR","Crittenden ",37751,2.3,44.1,13.9,83.5,52.6
"130","AR","Cross ",38085,1.9,73.3,11.4,29,51.4
"131","AR","Dallas ",28931,2.7,54.1,10.2,12.2,51.7
"132","AR","Desha ",28680,4.8,46.6,12.7,16.9,53.2
"133","AR","Drew ",31171,2.9,67,19.1,22.3,51.2
"134","AR","Faulkner ",50314,4.1,81.1,27.2,174.8,51.1
"135","AR","Franklin ",36766,3,92.5,12.4,29.8,50.5
"136","AR","Fulton ",35522,1.2,95.8,10,19.8,50.5
"137","AR","Garland ",39162,5.3,82.9,20.9,141.7,51.7
"138","AR","Grant ",49004,2.6,92.7,17.6,28.3,50.3
"139","AR","Greene ",38413,2.7,94.5,14.7,72.9,50.8
"140","AR","Hempstead ",32056,12.6,55.3,14.1,31.1,51.6
"141","AR","Hot Spring ",41193,3.3,82.7,12.3,53.5,48.1
"142","AR","Howard ",35879,11,65.7,12,23.4,51.3
"143","AR","Independence ",35026,5.9,89.3,14.4,48,51.3
"144","AR","Izard ",30661,1.9,93.8,11.7,23.6,47.6
"145","AR","Jackson ",30284,2.9,77.1,8.8,28.4,50.3
"146","AR","Jefferson ",37140,1.9,40.3,17.5,88.9,50.8
"147","AR","Johnson ",31003,13.5,81.1,14.7,38.7,50.3
"148","AR","Lafayette ",29732,2,59.7,10.7,14.5,51.7
"149","AR","Lawrence ",32239,1.3,96,10.4,29.6,50.5
"150","AR","Lee ",25034,2.7,41,7.1,17.3,44
"151","AR","Lincoln ",32697,3.6,64.8,7.9,25.2,38.9
"152","AR","Little River ",39673,3.1,73.3,10.6,24.7,50.9
"153","AR","Logan ",34996,2.7,91.4,11.7,31.6,50.2
"154","AR","Lonoke ",52582,4,86.8,18.2,88.7,50.5
"155","AR","Madison ",35771,5.4,90.4,10.3,18.8,49.9
"156","AR","Marion ",34494,2.3,94.6,12.9,27.9,50.3
"157","AR","Miller ",41319,3.1,69.3,13.9,69.5,50.8
"158","AR","Mississippi ",36428,4,59.4,13,51.6,51.3
"159","AR","Monroe ",27263,2.2,55.1,11.3,13.4,52.5
"160","AR","Montgomery ",31345,3.6,92.3,12.9,12.2,50.1
"161","AR","Nevada ",33694,3.3,64.1,12.8,14.6,50.6
"162","AR","Newton ",30038,1.8,94,12.7,10.1,49.5
"163","AR","Ouachita ",32015,2.2,55.4,15.5,35.6,52.6
"164","AR","Perry ",42455,2.8,92.4,11.9,18.9,50.3
"165","AR","Phillips ",26737,1.7,35.6,12,31.3,53
"166","AR","Pike ",32206,6.6,87.6,13.8,18.8,50.2
"167","AR","Poinsett ",32089,2.7,87.5,8.6,32.4,51.4
"168","AR","Polk ",32835,6.4,88.6,12.3,24.1,50.8
"169","AR","Pope ",40453,8.4,84.8,20.7,76,50.1
"170","AR","Prairie ",34855,1.2,85.7,9.3,13.4,50.6
